timestamp,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,range.zrange,pm.vbat
229396,0.007699714042246342,0.3084124028682709,48.9794807434082,0,3.7847506999969482
229496,0.0071206777356565,0.3067944347858429,48.987823486328125,0,3.7847506999969482
229596,0.016743268817663193,0.3199300467967987,48.99648666381836,0,3.7794721126556396
229696,0.015917643904685974,0.3091946542263031,48.98967742919922,0,3.7847506999969482
229796,0.04970874637365341,0.33411046862602234,49.02635192871094,0,3.7794721126556396
229896,0.07786434143781662,0.3478064239025116,49.073543548583984,0,3.7794721126556396
229996,0.12642090022563934,0.3805292844772339,49.13615798950195,0,3.7794721126556396
230096,0.11233783513307571,0.36853164434432983,49.1567268371582,0,3.7794721126556396
230196,0.07228688895702362,0.344888299703598,49.16323471069336,0,3.7794721126556396
230296,0.046226367354393005,0.31748130917549133,49.52830123901367,0,3.7794721126556396
230396,0.036961790174245834,0.32000744342803955,49.519630432128906,0,3.7794721126556396
230496,0.03446456417441368,0.3146255314350128,49.52717208862305,0,3.7847506999969482
230596,0.04228033870458603,0.3122102916240692,49.523860931396484,0,3.7794721126556396
230696,0.0505659319460392,0.3152585029602051,49.529640197753906,0,3.7847506999969482
230796,0.06395763903856277,0.330251008272171,49.522789001464844,0,3.7847506999969482
230896,0.07211008667945862,0.3337429463863373,49.5257453918457,0,3.7794721126556396
230996,0.0668126791715622,0.33271488547325134,49.530704498291016,0,3.7847506999969482
231096,0.05864541605114937,0.32789820432662964,49.53601837158203,0,3.7794721126556396
231196,0.05752234160900116,0.3226611018180847,49.54233169555664,0,3.7847506999969482
231296,0.06514877825975418,0.33040300011634827,49.54186248779297,0,3.7794721126556396
231396,0.07719124108552933,0.335991233587265,49.5408935546875,0,3.7847506999969482
231496,0.06963519752025604,0.3361653983592987,49.535221099853516,0,3.7794721126556396
231596,0.07815025001764297,0.32319527864456177,49.533477783203125,0,3.7794721126556396
231696,0.06556564569473267,0.31536585092544556,49.544837951660156,0,3.7847506999969482
231796,0.07299914211034775,0.31395190954208374,49.558738708496094,0,3.7794721126556396
231896,0.08411628007888794,0.31332358717918396,49.56095886230469,0,3.7794721126556396
231996,0.0834425687789917,0.317882776260376,49.56056213378906,0,3.7847506999969482
232096,0.09352000802755356,0.3183913826942444,49.56401062011719,0,3.7794721126556396
232196,0.09114763140678406,0.323999285697937,49.565574645996094,0,3.7794721126556396
232296,0.0942828357219696,0.3284584879875183,49.68562316894531,0,3.7847506999969482
232396,0.08187158405780792,0.32124581933021545,49.87544250488281,0,3.7794721126556396
232496,0.08424702286720276,0.33339613676071167,49.878841400146484,0,3.7847506999969482
232596,0.08447188138961792,0.3315587043762207,49.884639739990234,0,3.7794721126556396
232696,0.0764000341296196,0.32339534163475037,49.88465881347656,0,3.7847506999969482
232796,0.09327874332666397,0.33005475997924805,49.888370513916016,0,3.7794721126556396
232896,0.09789296984672546,0.330931156873703,49.896728515625,0,3.7794721126556396
232996,0.10065407305955887,0.3451988995075226,49.90538024902344,0,3.7794721126556396
233096,0.12141364067792892,0.3590259253978729,49.905521392822266,0,3.7794721126556396
233196,0.11394879221916199,0.35916203260421753,49.91233825683594,0,3.7847506999969482
233296,0.12982848286628723,0.36478567123413086,49.908119201660156,0,3.7794721126556396
233396,0.12995213270187378,0.3627581298351288,49.91727066040039,0,3.7794721126556396
233496,0.13379856944084167,0.37212270498275757,49.91973114013672,0,3.7847506999969482
233596,0.13936017453670502,0.3806566298007965,49.923927307128906,0,3.7794721126556396
233696,0.14942997694015503,0.38888019323349,49.93035125732422,0,3.7847506999969482
233796,0.14703549444675446,0.3898899555206299,49.93081283569336,0,3.7794721126556396
233896,0.1414128541946411,0.3866683542728424,49.939666748046875,0,3.7794721126556396
233996,0.12672646343708038,0.3822517395019531,49.945499420166016,0,3.7794721126556396
234096,0.1298312246799469,0.3773515820503235,49.946285247802734,0,3.7794721126556396
234196,0.1294276863336563,0.38636189699172974,49.9473991394043,0,3.7794721126556396
234296,0.13364514708518982,0.39256927371025085,49.94919967651367,0,3.7847506999969482
