timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,sys.rangingUs
27894.425,330.625,320.5,176.25,543.0625,54.3125,886.9375,285.9375,260.1875,1920.75,21.625,-16.25,0.0,0.0,147.60107421875,0,54984
27943.989,330.625,320.5,176.25,543.0625,54.3125,886.9375,285.9375,260.1875,1920.75,21.625,-16.25,0.0,0.0,147.5947723388672,0,54984
27993.527,326.0625,315.625,176.25,543.0625,54.3125,886.9375,285.9375,260.1875,1920.75,21.625,-16.25,0.0,0.0,147.58665466308594,0,54984
28043.069,326.0625,315.625,187.875,536.5625,52.4375,998.3125,304.9375,258.875,1919.4375,18.0,-16.1875,0.0,0.0,147.59805297851562,0,55136
28092.606,326.0625,315.625,187.875,536.5625,52.4375,998.3125,304.9375,258.875,1919.4375,18.0,-16.1875,0.0,0.0,147.5768280029297,0,55136
28142.174,327.125,315.625,187.875,536.5625,52.4375,998.3125,304.9375,258.875,1919.4375,18.0,-16.1875,0.0,0.0,147.55360412597656,0,55136
28191.696,327.125,312.875,187.0,533.375,51.875,1451.9375,286.25,257.6875,1920.25,21.75,-15.875,0.0,0.0,147.51315307617188,0,54980
28241.25,327.125,312.875,187.0,533.375,51.875,1451.9375,286.25,257.6875,1920.25,21.75,-15.875,0.0,0.0,147.46434020996094,0,54980
28290.804,327.125,312.875,187.0,533.375,51.875,1451.9375,286.25,257.6875,1920.25,21.75,-15.875,0.0,0.0,147.50437927246094,0,54980
28340.355,331.0625,312.625,184.5,532.0625,52.25,1629.125,289.6875,275.1875,1915.4375,17.9375,-15.875,0.0,0.0,147.51351928710938,0,54980
28389.878,331.0625,312.625,184.5,532.0625,52.25,1629.125,289.6875,275.1875,1915.4375,17.9375,-16.0625,0.0,0.0,147.51193237304688,0,55167
28439.431,331.0625,312.625,184.5,532.0625,52.25,1629.125,289.6875,275.1875,1915.4375,17.9375,-16.0625,0.0,0.0,147.52952575683594,0,55167
