timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std
25355.749,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05763230100274086,-0.022676056250929832,0.00637070694938302,6,0,0,8191,19,2.0
25375.579,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05891888216137886,-0.02320661023259163,0.006895624101161957,8,0,0,8191,19,2.0
25395.392,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060452651232481,-0.023844752460718155,0.006811550818383694,8,0,0,8191,23,2.0
25415.218,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0615173764526844,-0.024291718378663063,0.008031636476516724,10,0,0,8191,23,2.0
25435.022,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06307844072580338,-0.024947773665189743,0.008093510754406452,10,0,0,8191,23,2.0
25454.85,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648285299539566,-0.02568376623094082,0.007711789105087519,7,0,0,8191,23,2.0
25474.659,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06643335521221161,-0.026354951784014702,0.007720907684415579,7,0,0,8191,17,2.0
25494.498,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06805923581123352,-0.02704131230711937,0.007730948273092508,8,0,0,8191,17,2.0
25514.295,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06966082751750946,-0.02772117778658867,0.007853939197957516,8,0,0,8191,11,2.0
25534.123,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07138867676258087,-0.028459304943680763,0.007853677496314049,8,0,0,8191,11,2.0
25553.931,0.0,1.0935586191892449e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073351189494133,-0.02929670177400112,0.007095359731465578,6,0,0,8191,20,2.0
