timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10
32369.84,791.6875,159.125,280.75,1901.4375,33.625,197.75,387.8125,1444.4375,1319.625,36.6875,-15.625
32373.843,791.6875,159.125,280.75,1901.4375,33.625,197.75,387.8125,1444.4375,1319.625,36.6875,-15.625
32377.764,791.6875,159.125,280.75,1901.4375,33.625,197.75,387.8125,1444.4375,1319.625,36.6875,-15.625
32381.727,791.6875,159.125,280.75,1901.4375,33.625,197.75,387.8125,1444.4375,1319.625,36.6875,-15.625
32385.737,791.6875,159.125,280.75,1901.4375,33.625,197.75,387.8125,1444.4375,1319.625,36.6875,-15.625
32389.653,791.6875,159.125,280.75,1901.4375,33.625,197.75,387.8125,1444.4375,1319.625,36.6875,-15.625
32393.648,791.6875,159.125,280.75,1901.4375,33.625,197.75,387.8125,1444.4375,1319.625,36.6875,-15.625
32397.579,791.6875,159.125,280.75,1901.4375,33.625,197.75,387.8125,1444.4375,1319.625,36.6875,-15.625
32401.542,791.6875,159.125,280.75,1901.4375,33.625,197.75,387.8125,1444.4375,1319.625,36.6875,-15.625
32468.912,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32472.907,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32476.838,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32480.8,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32484.81,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32488.726,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32492.731,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32496.652,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32500.615,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32504.624,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32508.543,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32512.536,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
32516.467,584.5625,775.9375,1060.5625,2326.4375,37.375,230.9375,398.0625,1532.0625,1492.0625,34.9375,-15.75
