timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std,motion.loopUs,sys.rangingUs
33126.243,319.0625,299.5,289.8125,524.4375,55.25,1398.5,385.0,220.25,1919.5625,16.25,-14.25,0.5892621278762817,0.42303115129470825,0.015167473815381527,12,0,0,8191,15,2.0,23272,59572
33175.794,307.25,299.5,289.8125,524.4375,55.25,1398.5,385.0,220.25,1919.5625,16.25,-14.25,0.6099145412445068,0.43762972950935364,0.013969385996460915,14,0,0,8191,15,2.0,421,59572
33225.343,307.25,295.625,291.25,375.375,55.75,1402.875,420.625,211.8125,1920.625,20.4375,-14.75,0.6290467977523804,0.4511498808860779,0.013117802329361439,14,0,0,8191,15,2.0,421,56317
33274.887,307.25,295.625,291.25,375.375,55.75,1402.875,420.625,211.8125,1920.625,20.4375,-14.75,0.6480392813682556,0.46458807587623596,0.012661313638091087,10,0,0,8191,25,2.0,324,56317
33324.458,307.25,295.625,291.25,375.375,55.75,1402.875,420.625,211.8125,1920.625,20.4375,-14.75,0.6685886979103088,0.47911444306373596,0.01018611341714859,11,0,0,8191,25,2.0,324,56317
33373.995,295.6875,292.5,292.375,370.1875,58.5,1400.4375,387.8125,213.0,1921.0,20.4375,-14.75,0.6760263442993164,0.48436370491981506,0.018243979662656784,25,0,0,8191,25,2.0,324,56317
33423.562,295.6875,292.5,292.375,370.1875,58.5,1400.4375,387.8125,213.0,1921.0,16.375,-14.125,0.7023575901985168,0.5029724836349487,0.01505519449710846,12,0,0,8191,21,2.0,18398,60566
33473.092,295.6875,292.5,292.375,370.1875,58.5,1400.4375,387.8125,213.0,1921.0,16.375,-14.125,0.7242810726165771,0.5184593200683594,0.012901782989501953,12,0,0,8191,21,2.0,18398,60566
33522.668,274.5,282.5625,285.9375,361.3125,61.25,1400.25,435.3125,213.0,1921.0,16.375,-14.125,0.741757333278656,0.5308547019958496,0.02129322849214077,27,0,0,8191,22,2.0,397,60566
33572.195,274.5,282.5625,285.9375,361.3125,61.25,1400.25,435.3125,189.875,1923.75,16.0625,-14.6875,0.7644797563552856,0.5469198822975159,0.01792086847126484,13,0,0,8191,22,2.0,397,62898
33621.746,274.5,282.5625,285.9375,361.3125,61.25,1400.25,435.3125,189.875,1923.75,16.0625,-14.6875,0.7814532518386841,0.5589727163314819,0.018234368413686752,23,0,0,8191,15,2.0,321,62898
33671.306,241.375,263.875,266.75,340.5,60.875,1400.25,435.3125,189.875,1923.75,16.0625,-14.6875,0.811155378818512,0.5798511505126953,0.014656508341431618,9,0,0,8191,15,2.0,321,62898
33720.857,241.375,263.875,266.75,340.5,60.875,1400.8125,439.125,191.625,1922.5,20.4375,-13.875,0.8360252976417542,0.5973400473594666,0.012789299711585045,11,0,0,8191,22,2.0,24169,59428
33770.401,241.375,263.875,266.75,340.5,60.875,1400.8125,439.125,191.625,1922.5,20.4375,-13.875,0.8392910361289978,0.5998181700706482,0.017268693074584007,22,0,0,8191,22,2.0,24169,59428
33819.973,225.8125,255.4375,259.6875,340.5,60.875,1400.8125,439.125,191.625,1922.5,20.4375,-13.875,0.8688602447509766,0.6206052899360657,0.014519844204187393,11,0,0,8191,16,2.0,357,59428
33869.502,225.8125,255.4375,259.6875,333.75,62.375,1398.375,432.0625,210.75,1921.1875,16.4375,-14.625,0.8944609761238098,0.6386924386024475,0.012960120104253292,12,0,0,8191,16,2.0,357,62463
33919.062,225.8125,255.4375,259.6875,333.75,62.375,1398.375,432.0625,210.75,1921.1875,16.4375,-14.625,0.9109716415405273,0.6500851511955261,0.017860837280750275,22,0,0,8191,22,2.0,319,62463
33968.622,222.0625,255.4375,259.6875,333.75,62.375,1398.375,432.0625,210.75,1921.1875,16.4375,-14.625,0.93837970495224,0.669435441493988,0.01432818453758955,10,0,0,8191,22,2.0,319,62463
34018.17,222.0625,254.1875,379.75,332.6875,62.125,1403.25,385.125,191.625,1924.9375,20.5,-14.625,0.9564156532287598,0.6821531653404236,0.012132295407354832,10,0,0,8191,22,2.0,319,62463
34067.715,222.0625,254.1875,379.75,332.6875,62.125,1403.25,385.125,191.625,1924.9375,20.5,-13.75,0.9798051714897156,0.6985293030738831,0.015649184584617615,20,0,0,8191,16,2.0,23287,59533
34117.269,222.0625,254.1875,379.75,332.6875,62.125,1403.25,385.125,191.625,1924.9375,20.5,-13.75,1.0046019554138184,0.7160183787345886,0.01419580727815628,17,0,0,8191,16,2.0,23287,59533
34166.825,217.1875,251.0,254.3125,330.9375,62.8125,1398.5625,476.5,199.625,1924.9375,20.5,-13.75,1.020023226737976,0.7274234890937805,0.019749648869037628,25,0,0,8191,18,2.0,313,59533
34216.363,217.1875,251.0,254.3125,330.9375,62.8125,1398.5625,476.5,199.625,1919.3125,16.3125,-14.75,1.0448881387710571,0.7446015477180481,0.016533974558115005,11,0,0,8191,18,2.0,313,62605
34265.912,217.1875,251.0,254.3125,330.9375,62.8125,1398.5625,476.5,199.625,1919.3125,16.3125,-14.75,1.070568323135376,0.7624965310096741,0.015582377091050148,14,0,0,8191,18,2.0,443,62605
34315.495,218.0,252.1875,379.1875,334.25,61.9375,1400.75,476.5,199.625,1919.3125,16.3125,-14.75,1.0942941904067993,0.7794539332389832,0.019218359142541885,23,0,0,8191,18,2.0,443,62605
34365.014,218.0,252.1875,379.1875,334.25,61.9375,1400.75,422.0,191.875,1922.3125,20.4375,-14.625,1.1247601509094238,0.8007575869560242,0.016288265585899353,12,0,0,8191,19,2.0,23207,59450
34414.565,218.0,252.1875,379.1875,334.25,61.9375,1400.75,422.0,191.875,1922.3125,20.4375,-14.625,1.1567739248275757,0.8230950832366943,0.013830514624714851,12,0,0,8191,19,2.0,23207,59450
34464.126,228.3125,258.5,265.4375,339.9375,61.9375,1400.75,422.0,191.875,1922.3125,20.4375,-14.625,1.1687196493148804,0.8316137790679932,0.017569459974765778,21,0,0,8191,16,2.0,309,59450
34513.678,228.3125,258.5,265.4375,339.9375,62.5625,1397.625,420.1875,200.625,1922.0625,16.4375,-13.9375,1.199406385421753,0.8530917167663574,0.016439469531178474,15,0,0,8191,16,2.0,309,62714
34563.226,228.3125,258.5,265.4375,339.9375,62.5625,1397.625,420.1875,200.625,1922.0625,16.4375,-13.9375,1.2328749895095825,0.8764840960502625,0.013908484019339085,12,0,0,8191,25,2.0,441,62714
34612.783,237.5,262.6875,265.4375,339.9375,62.5625,1397.625,420.1875,200.625,1922.0625,16.4375,-13.9375,1.2454783916473389,0.8855341672897339,0.01596973091363907,12,0,0,8191,25,2.0,441,62714
34662.339,237.5,262.6875,264.5625,345.5625,61.3125,1400.1875,474.8125,213.4375,1921.0,20.375,-14.5625,1.273497223854065,0.9051666259765625,0.015870627015829086,12,0,0,8191,18,2.0,21255,57139
34711.896,237.5,262.6875,264.5625,345.5625,61.3125,1400.1875,474.8125,213.4375,1921.0,20.375,-14.5625,1.2965995073318481,0.9210049510002136,0.016765199601650238,19,0,0,8191,18,2.0,21255,57139
34761.448,244.1875,262.6875,264.5625,345.5625,61.3125,1400.1875,474.8125,213.4375,1921.0,20.375,-14.5625,1.3283931016921997,0.9435387849807739,0.0143743259832263,12,0,0,8191,20,2.0,312,57139
