timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std
41203.618,312.9375,191.1875,369.875,2101.875,29.6875,463.75,235.0,707.0,1962.625,16.0,-31.5625,0.05410728603601456,0.135102316737175,0.01422937959432602,15,0,0,8191,13,2.0
41223.455,312.9375,191.1875,369.875,2101.875,29.6875,463.75,235.0,707.0,1962.625,16.0,-31.5625,0.0553300641477108,0.1381997913122177,0.01527339220046997,16,0,0,8191,13,2.0
41243.265,120.125,191.25,544.1875,2217.125,29.6875,463.75,235.0,707.0,1962.625,16.0,-31.5625,0.055987343192100525,0.13986577093601227,0.015284840948879719,16,0,0,8191,13,2.0
41263.084,120.125,191.25,544.1875,2217.125,30.625,493.5625,221.9375,710.1875,1962.625,16.0,-31.5625,0.055987343192100525,0.13986577093601227,0.015284840948879719,16,0,0,8191,13,2.0
41282.883,120.125,191.25,544.1875,2217.125,30.625,493.5625,221.9375,710.1875,1961.625,12.3125,-31.4375,0.059341803193092346,0.1483442187309265,0.015339052304625511,16,0,0,8191,12,2.0
41302.708,120.125,191.25,544.1875,2217.125,30.625,493.5625,221.9375,710.1875,1961.625,12.3125,-31.4375,0.0606851726770401,0.15172424912452698,0.015879755839705467,16,0,0,8191,12,2.0
41322.527,120.125,191.25,544.1875,2217.125,30.625,493.5625,221.9375,710.1875,1961.625,12.3125,-31.4375,0.06207143887877464,0.1552198827266693,0.01594710908830166,16,0,0,8191,14,2.0
41342.348,120.125,191.25,544.1875,2217.125,30.625,493.5625,221.9375,710.1875,1961.625,12.3125,-31.4375,0.06369222700595856,0.15930205583572388,0.013106185011565685,12,0,0,8191,14,2.0
41362.146,120.125,191.25,544.1875,2217.125,30.625,493.5625,221.9375,710.1875,1961.625,12.3125,-31.4375,0.06511164456605911,0.16289710998535156,0.01261113490909338,12,0,0,8191,14,2.0
41381.983,120.125,191.25,544.1875,2217.125,30.625,493.5625,221.9375,710.1875,1961.625,12.3125,-31.4375,0.06644659489393234,0.16628682613372803,0.013202165253460407,14,0,0,8191,14,2.0
41401.782,118.8125,1033.375,498.375,2291.5625,30.625,493.5625,221.9375,710.1875,1961.625,12.3125,-31.4375,0.06716809421777725,0.16811853647232056,0.013050819747149944,14,0,0,8191,14,2.0
41421.608,118.8125,1033.375,498.375,2291.5625,29.6875,462.0625,234.5,706.6875,1961.625,12.3125,-31.4375,0.06716809421777725,0.16811853647232056,0.013050819747149944,14,0,0,8191,14,2.0
41441.412,118.8125,1033.375,498.375,2291.5625,29.6875,462.0625,234.5,706.6875,1964.375,15.9375,-30.9375,0.07084621489048004,0.17746086418628693,0.012278483249247074,14,0,0,8191,13,2.0
