timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z
25358.753,555.8125,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06256680190563202,-0.004176747053861618,0.007520679384469986
25378.579,556.4375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06396259367465973,-0.004251630511134863,0.008213220164179802
25398.39,556.4375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06557673960924149,-0.004332318436354399,0.008349672891199589
25418.216,556.4375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06727541983127594,-0.004419536329805851,0.008310371078550816
25438.027,556.4375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06893640756607056,-0.004509618505835533,0.008432078175246716
25457.855,556.4375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07083799690008163,-0.004618708975613117,0.00795455276966095
25477.662,555.3125,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0725448876619339,-0.004713079426437616,0.008015668950974941
25497.49,555.3125,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07395574450492859,-0.004777985159307718,0.008842849172651768
25517.299,555.3125,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07569930702447891,-0.004877639003098011,0.008987020701169968
25537.135,555.3125,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0774679034948349,-0.004980700556188822,0.009126107208430767
25556.936,555.3125,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07927314192056656,-0.005090662743896246,0.009210553020238876
25576.764,558.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08107531070709229,-0.005201749037951231,0.009346861392259598
25596.573,558.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08287981897592545,-0.005300565622746944,0.009760507382452488
25616.403,558.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08472681045532227,-0.005402497481554747,0.009918428026139736
25636.212,558.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08659233897924423,-0.005500515922904015,0.010072886012494564
25656.053,558.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08848007023334503,-0.005606390070170164,0.01024274155497551
25675.861,558.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09045405685901642,-0.005716322921216488,0.010280698537826538
25695.677,557.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09238418936729431,-0.005816612392663956,0.01043456420302391
25715.484,557.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09445574879646301,-0.005923475604504347,0.01035340130329132
25735.313,557.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09642428904771805,-0.006023062858730555,0.010479447431862354
25755.128,557.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09841959178447723,-0.006109956651926041,0.010589970275759697
25774.959,557.375,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10121441632509232,-0.006220818031579256,0.009165246970951557
25794.757,556.1875,1.093651677008157e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10327639430761337,-0.006312069483101368,0.009141367860138416
