timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10
32570.848,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32574.884,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32578.775,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32582.741,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32586.745,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32590.663,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32594.69,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32598.59,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32602.553,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32626.385,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32630.295,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32634.326,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32638.22,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32642.184,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32646.2,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32650.11,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32654.148,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32658.036,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32662.002,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32666.029,404.75,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32669.942,350.0,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32673.97,350.0,353.625,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32677.862,350.0,351.8125,357.875,668.125,34.625,221.25,418.125,458.1875,610.5625,21.1875,20.375
32729.374,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32733.412,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32737.301,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32741.263,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32745.282,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32749.19,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32753.218,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32757.122,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32761.079,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32765.097,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32769.006,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32773.044,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32776.932,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32780.896,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32784.914,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32788.822,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32792.85,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32796.748,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32800.716,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32804.728,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32808.638,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32812.676,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32816.564,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32820.527,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32824.557,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32828.46,350.0,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32832.489,419.125,351.8125,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32836.394,419.125,376.5625,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32840.351,419.125,376.5625,363.1875,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32844.375,419.125,376.5625,393.75,654.75,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32848.287,419.125,376.5625,393.75,658.0625,37.8125,340.0,367.625,568.625,614.25,23.4375,29.125
32852.327,419.125,376.5625,393.75,658.0625,70.6875,340.0,367.625,568.625,614.25,23.4375,29.125
32856.213,419.125,376.5625,393.75,658.0625,70.6875,340.0,367.625,568.625,614.25,23.4375,29.125
32891.954,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32895.843,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32899.805,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32903.813,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32907.73,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32911.754,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32915.652,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32919.613,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32923.619,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32927.534,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32931.581,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32935.461,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32939.425,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32943.438,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32947.351,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32951.379,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32955.277,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32959.243,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32963.252,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32967.176,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32971.205,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32975.098,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32979.06,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32983.067,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32986.998,419.125,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32991.033,514.5,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32994.927,514.5,376.5625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
32998.883,514.5,489.0625,393.75,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
33002.893,514.5,489.0625,455.8125,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
33006.825,514.5,489.0625,455.8125,658.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
33010.852,514.5,489.0625,455.8125,674.0625,70.6875,363.375,404.75,582.8125,600.6875,49.4375,50.3125
33014.736,514.5,489.0625,455.8125,674.0625,135.375,363.375,404.75,582.8125,600.6875,49.4375,50.3125
33050.481,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
33054.359,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
33058.321,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
33062.344,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
33066.249,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
33070.277,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
33074.178,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
33078.137,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
33082.146,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
33086.063,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
33090.106,514.5,489.0625,455.8125,674.0625,135.375,389.9375,352.0,584.375,570.875,73.0625,72.8125
