timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z
32623.247,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.72942352294922
32627.173,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.72942352294922
32631.158,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.71954345703125
32635.089,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.71954345703125
32639.054,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.71954345703125
32643.062,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.71174621582031
32646.988,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.71174621582031
32650.983,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.70472717285156
32654.905,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.70472717285156
32658.868,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.70472717285156
32662.877,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.70278930664062
32666.803,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.70278930664062
32670.789,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.70104217529297
32674.72,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.70104217529297
32678.683,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.70104217529297
32682.693,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.6923599243164
32686.619,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.6923599243164
32690.614,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.6845474243164
32694.536,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.6845474243164
32698.499,282.4375,246.375,256.5,309.3125,193.4375,90.6875,63.1875,264.5625,1967.1875,17.0625,-25.75,0.0,0.0,112.6845474243164
