timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std
41228.619,226.75,170.8125,203.5,364.6875,43.125,357.9375,108.4375,435.8125,1816.75,11.5,-24.3125,0.08955385535955429,0.021380197256803513,0.010050837881863117,10,0,0,8191,11,2.0
41278.173,226.75,170.8125,203.5,364.6875,43.125,357.9375,115.375,434.3125,1811.25,15.125,-24.375,0.09705089032649994,0.02301221713423729,0.008517852984368801,8,0,0,8191,11,2.0
41327.705,226.75,170.8125,203.5,364.6875,43.125,357.9375,115.375,434.3125,1811.25,15.125,-24.375,0.10241121798753738,0.024173863232135773,0.008748999796807766,9,0,0,8191,12,2.0
41377.264,226.875,171.125,205.3125,362.25,43.125,357.9375,115.375,434.3125,1811.25,15.125,-24.375,0.1068989485502243,0.025140248239040375,0.00817372277379036,8,0,0,8191,11,2.0
41426.797,226.875,171.125,205.3125,362.25,42.3125,357.6875,112.4375,435.0625,1836.5625,11.5,-25.0625,0.11370314657688141,0.026614954695105553,0.007911835797131062,8,0,0,8191,13,2.0
41476.351,226.875,171.125,205.3125,362.25,42.3125,357.6875,112.4375,435.0625,1836.5625,11.5,-25.0625,0.11912079155445099,0.027794739231467247,0.010783780366182327,12,0,0,8191,12,2.0
41525.902,226.0625,179.0,205.3125,362.25,42.3125,357.6875,112.4375,435.0625,1836.5625,11.5,-25.0625,0.12519845366477966,0.02910173498094082,0.010910708457231522,10,0,0,8191,12,2.0
41575.441,226.0625,179.0,202.875,361.75,43.3125,315.3125,118.9375,434.6875,1795.0,15.5,-24.4375,0.1312798410654068,0.030414165928959846,0.01167954783886671,10,0,0,8191,15,2.0
41624.987,226.0625,179.0,202.875,361.75,43.3125,315.3125,118.9375,434.6875,1795.0,15.5,-24.4375,0.1380987912416458,0.03189324587583542,0.00739735784009099,7,0,0,8191,11,2.0
41674.561,226.5,179.0,202.875,361.75,43.3125,315.3125,118.9375,434.6875,1795.0,15.5,-24.4375,0.14474673569202423,0.03330829739570618,0.005521819926798344,5,0,0,8191,11,2.0
41724.082,226.5,171.5,206.3125,363.625,43.0,313.125,115.9375,434.25,1791.8125,11.625,-24.4375,0.14605320990085602,0.03358391672372818,0.005288544576615095,5,0,0,8191,11,2.0
41773.619,226.5,171.5,206.3125,363.625,43.0,313.125,115.9375,434.25,1791.8125,11.625,-25.0625,0.157618448138237,0.036018118262290955,0.0056579019874334335,7,0,0,8191,12,2.0
41823.165,226.5,171.5,206.3125,363.625,43.0,313.125,115.9375,434.25,1791.8125,11.625,-25.0625,0.16342775523662567,0.037315960973501205,0.010534894652664661,12,0,0,8191,12,2.0
41872.737,229.4375,165.625,205.75,361.875,42.9375,315.5625,109.0625,435.25,1791.8125,11.625,-25.0625,0.16618868708610535,0.03789691627025604,0.011200914159417152,12,0,0,8191,12,2.0
41922.259,229.4375,165.625,205.75,361.875,42.9375,315.5625,109.0625,435.25,1788.5625,15.1875,-24.5625,0.1779002994298935,0.04031543806195259,0.011486034840345383,10,0,0,8191,12,2.0
41971.818,229.4375,165.625,205.75,361.875,42.9375,315.5625,109.0625,435.25,1788.5625,15.1875,-24.5625,0.18518541753292084,0.04181937500834465,0.012638790532946587,12,0,0,8191,11,2.0
42021.352,225.375,173.125,206.9375,363.375,43.5,311.875,109.0625,435.25,1788.5625,15.1875,-24.5625,0.1903260350227356,0.0428626611828804,0.010516799986362457,9,0,0,8191,11,2.0
42070.908,225.375,173.125,206.9375,363.375,43.5,311.875,125.875,434.8125,1815.75,11.3125,-25.0,0.20169015228748322,0.04520531743764877,0.0077226897701621056,7,0,0,8191,13,2.0
42120.444,225.375,173.125,206.9375,363.375,43.5,311.875,125.875,434.8125,1815.75,11.3125,-25.0,0.20909114181995392,0.046754080802202225,0.008372903801500797,9,0,0,8191,10,2.0
