timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,sys.rangingUs
18259.194,344.75,348.8125,383.875,408.375,48.8125,1033.4375,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.3518524169922,0,29191
18308.739,344.75,348.8125,383.875,735.6875,47.8125,1190.4375,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.3464813232422,0,29265
18358.274,344.75,348.8125,383.875,735.6875,47.8125,1190.4375,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.3287353515625,0,29265
18407.836,376.75,374.0,257.5,794.3125,65.0,1339.75,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.2957305908203,0,29256
18457.362,376.75,374.0,257.5,794.3125,65.0,1339.75,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.2779998779297,0,29256
18506.915,401.8125,386.75,257.5,794.3125,65.0,1339.75,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.27569580078125,0,29256
18556.451,401.8125,386.75,262.9375,790.75,63.9375,1464.8125,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.26510620117188,0,29231
18606.011,401.8125,386.75,262.9375,790.75,63.9375,1464.8125,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.2552947998047,0,29231
18655.537,421.3125,390.125,372.375,797.5,42.6875,1091.8125,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.2609405517578,0,29250
18705.089,421.3125,390.125,372.375,797.5,42.6875,1091.8125,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.2283935546875,0,29250
18754.635,421.3125,390.125,372.375,797.5,42.6875,1091.8125,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.22613525390625,0,29250
18804.185,420.625,384.0,389.4375,652.0625,42.8125,1739.9375,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.2654266357422,0,29374
18853.711,420.625,384.0,389.4375,652.0625,42.8125,1739.9375,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.340576171875,0,29374
18903.265,291.375,360.625,338.25,596.1875,43.4375,1739.9375,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.3559112548828,0,29374
18952.799,291.375,360.625,338.25,596.1875,43.4375,1741.125,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.35702514648438,0,29213
19002.361,291.375,360.625,338.25,596.1875,43.4375,1741.125,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.36207580566406,0,29213
19051.886,311.6875,226.25,180.4375,571.4375,53.5625,1562.8125,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.34585571289062,0,29257
19101.438,311.6875,226.25,180.4375,571.4375,53.5625,1562.8125,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.38726806640625,0,29257
19150.983,354.5,317.125,356.375,571.4375,53.5625,1562.8125,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.4109649658203,0,29257
19200.535,354.5,317.125,356.375,601.4375,54.5625,1738.625,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.4130401611328,0,29339
19250.061,354.5,317.125,356.375,601.4375,54.5625,1738.625,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.37646484375,0,29339
19299.614,335.9375,327.5,247.125,425.75,51.625,1755.5,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.37460327148438,0,29202
19349.149,335.9375,327.5,247.125,425.75,51.625,1755.5,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.38311767578125,0,29202
19398.716,329.5,334.125,247.125,425.75,51.625,1755.5,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.3758087158203,0,29202
19448.236,329.5,334.125,257.3125,403.375,51.0625,1736.0,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.37918090820312,0,29326
19497.788,329.5,334.125,257.3125,403.375,51.0625,1736.0,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.37176513671875,0,29326
19547.324,327.875,330.3125,254.125,536.375,49.0,1573.5625,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.3289794921875,0,29208
19596.886,327.875,330.3125,254.125,536.375,49.0,1573.5625,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.30047607421875,0,29208
19646.42,327.875,330.3125,254.125,536.375,49.0,1573.5625,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.31520080566406,0,29208
19695.964,334.0625,333.9375,261.4375,548.125,52.75,1744.25,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.36544799804688,0,29201
19745.499,334.0625,333.9375,261.4375,548.125,52.75,1744.25,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.40841674804688,0,29201
19795.062,354.75,352.5625,261.5625,443.4375,48.6875,1744.25,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.42971801757812,0,29201
19844.586,354.75,352.5625,261.5625,443.4375,48.6875,1753.5,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.4171142578125,0,29326
19894.138,354.75,352.5625,261.5625,443.4375,48.6875,1753.5,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.3796844482422,0,29326
19943.674,385.0625,372.0625,260.3125,471.0,48.5,1763.25,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.34129333496094,0,29251
19993.236,385.0625,372.0625,260.3125,471.0,48.5,1763.25,1.0947921522777146e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,148.29818725585938,0,29251
