timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z
16123.732,217.8125,302.1875,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.30374908447266
16127.744,217.8125,302.1875,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.30374908447266
16131.703,217.8125,302.1875,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.31360626220703
16135.627,217.8125,302.1875,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.31360626220703
16139.587,217.8125,302.1875,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.31360626220703
16143.551,217.8125,302.1875,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.32247161865234
16147.562,217.8125,302.1875,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.32247161865234
16179.226,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.34722137451172
16183.189,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.35929107666016
16187.2,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.35929107666016
16191.149,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.37015533447266
16195.081,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.37015533447266
16199.045,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.37015533447266
16203.009,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.3826675415039
16207.019,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.3826675415039
16210.978,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.39392852783203
16214.9,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.39392852783203
16218.864,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.39392852783203
16222.828,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.4007797241211
16226.838,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.4007797241211
16230.787,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.40694427490234
16234.721,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.40694427490234
16238.683,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.40694427490234
16242.647,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.41468048095703
16246.657,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.41468048095703
16250.616,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.42164611816406
16254.539,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.42164611816406
16258.502,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.42164611816406
16262.468,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.43064880371094
16266.477,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.43064880371094
16270.433,218.375,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.43875122070312
16274.372,219.0,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.43875122070312
16278.327,219.0,300.3125,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.43875122070312
16282.286,219.0,303.0625,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.44440460205078
16286.296,219.0,303.0625,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.44440460205078
16290.255,219.0,303.0625,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.4494857788086
16294.177,219.0,303.0625,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.4494857788086
16298.141,219.0,303.0625,1.092999238300006e-19,0.0,1.0843122909045506e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.4494857788086
