timestamp,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,baro.asl,baro.temp,baro.pressure,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,stabilizer.thrust,ctrltarget.roll,ctrltarget.pitch,ctrltarget.yaw,range.zrange
20101.75,-6.497786671388894e-05,0.003714288119226694,0.9990524053573608,0.06449797004461288,-0.03544551879167557,-0.059226226061582565,82.40333557128906,35.702972412109375,1006.1635131835938,0.04128069803118706,-0.07984302937984467,-0.045271262526512146,0.0,0.0,0.0,0.0,0
20105.76,-0.00047912978334352374,0.003766205394640565,0.9993393421173096,-0.038717158138751984,0.15854968130588531,-0.18105557560920715,82.40333557128906,35.702972412109375,1006.1635131835938,0.041402820497751236,-0.0803939625620842,-0.04599463567137718,0.0,0.0,0.0,0.0,0
20109.677,-0.0021718423813581467,0.0031753277871757746,0.9987177848815918,-0.0661100223660469,0.012805209495127201,0.014880439266562462,82.46348571777344,35.70193099975586,1006.1566162109375,0.0413627102971077,-0.08051598817110062,-0.0459347665309906,0.0,0.0,0.0,0.0,0
20113.641,-0.0020791832357645035,0.0019732050132006407,0.9985684752464294,0.06514833122491837,0.05234258249402046,0.10460112988948822,82.46348571777344,35.70193099975586,1006.1566162109375,0.04173881933093071,-0.0807868093252182,-0.04551604390144348,0.0,0.0,0.0,0.0,0
20117.646,-0.0018421884160488844,0.0014618388377130032,0.9988364577293396,0.0008422959945164621,-0.03633218631148338,0.008507540449500084,82.46348571777344,35.70193099975586,1006.1566162109375,0.04180997237563133,-0.0806824266910553,-0.04548202455043793,0.0,0.0,0.0,0.0,0
20121.568,-0.0014389436691999435,0.0014635124243795872,0.999177873134613,0.16535921394824982,-0.16306380927562714,-0.08720890432596207,82.46348571777344,35.70193099975586,1006.1566162109375,0.042538657784461975,-0.08003665506839752,-0.045831240713596344,0.0,0.0,0.0,0.0,0
20149.315,-0.0033856709487736225,0.0019100243225693703,1.0003435611724854,0.0807553231716156,0.3027881681919098,-0.03184401988983154,82.33771514892578,35.70083999633789,1006.1705932617188,0.04197236895561218,-0.08197715133428574,-0.046280305832624435,0.0,0.0,0.0,0.0,0
20153.278,-0.0018575933063402772,0.002093553077429533,1.0004857778549194,-0.012688342481851578,-0.12077730894088745,-0.0487360805273056,82.33771514892578,35.70083999633789,1006.1705932617188,0.04204588755965233,-0.08153554052114487,-0.04647543281316757,0.0,0.0,0.0,0.0,0
20157.284,-0.0016907243989408016,0.0017926336731761694,1.0012598037719727,0.11213324964046478,-0.04818971827626228,0.13627921044826508,82.33771514892578,35.70083999633789,1006.1705932617188,0.04259217530488968,-0.08136822283267975,-0.04593030735850334,0.0,0.0,0.0,0.0,0
20161.205,-0.002215270884335041,0.002503619994968176,1.0012969970703125,-0.18717865645885468,-0.018418194726109505,-0.0041408054530620575,82.33771514892578,35.70083999633789,1006.1705932617188,0.04200408235192299,-0.08136773109436035,-0.045946698635816574,0.0,0.0,0.0,0.0,0
20165.226,-0.0022927671670913696,0.0022014747373759747,1.0002479553222656,0.040325526148080826,-0.2910487949848175,0.18953834474086761,82.33771514892578,35.70083999633789,1006.1705932617188,0.042300816625356674,-0.08028704673051834,-0.045189209282398224,0.0,0.0,0.0,0.0,0
20169.142,-0.0018667300464585423,0.0008401896920986474,1.000097632408142,-0.13068079948425293,0.0017471960745751858,0.0792655348777771,82.26116943359375,35.70033645629883,1006.1793823242188,0.041788723319768906,-0.08033708482980728,-0.04487213119864464,0.0,0.0,0.0,0.0,0
20173.105,-0.002000521868467331,0.00034281937405467033,1.000163197517395,-0.046975601464509964,-0.07989345490932465,0.057436879724264145,82.26116943359375,35.70033645629883,1006.1793823242188,0.041566938161849976,-0.0800737589597702,-0.04464266076683998,0.0,0.0,0.0,0.0,0
20177.092,-0.001882305950857699,0.0005296226008795202,0.9987573027610779,-0.18262134492397308,0.5258573889732361,-0.11775258183479309,82.26116943359375,35.70033645629883,1006.1793823242188,0.04081897437572479,-0.08221571892499924,-0.045112188905477524,0.0,0.0,0.0,0.0,0
20181.024,-0.002090669237077236,0.001054437831044197,0.9982588887214661,-0.14387035369873047,-0.01764255203306675,0.02232324331998825,82.26116943359375,35.70033645629883,1006.1793823242188,0.04027581587433815,-0.08220618218183517,-0.04502289369702339,0.0,0.0,0.0,0.0,0
20208.773,-0.00039537050179205835,0.0023565199226140976,0.999395489692688,-0.2104305624961853,-0.001327887992374599,-0.20904399454593658,82.33771514892578,35.69884490966797,1006.171142578125,0.040605321526527405,-0.07911340892314911,-0.04708694666624069,0.0,0.0,0.0,0.0,0
20212.736,-0.0006943736807443202,0.0017777250614017248,0.9987961649894714,0.022768210619688034,0.07861551642417908,0.2537112832069397,82.33771514892578,35.69884490966797,1006.171142578125,0.040796127170324326,-0.07936514914035797,-0.04607174172997475,0.0,0.0,0.0,0.0,0
20216.733,-0.0020177126862108707,0.002147015416994691,0.9988124966621399,0.2345791608095169,0.0672324076294899,0.04754171893000603,82.33771514892578,35.69884490966797,1006.171142578125,0.04186633601784706,-0.07969172298908234,-0.04588119685649872,0.0,0.0,0.0,0.0,0
20220.663,-0.0023185519967228174,0.0025630479212850332,0.9992916584014893,-0.04166360944509506,-0.007236302364617586,0.1588708907365799,82.33771514892578,35.69884490966797,1006.171142578125,0.041868243366479874,-0.0797477662563324,-0.04524550214409828,0.0,0.0,0.0,0.0,0
