timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z
28816.757,31.3125,25.0,15.5,-20.75,36.25,182.4375,189.375,1171.3125,1662.1875,1.0950909712739994e-19,0.0,0.0,0.0,114.00459289550781
28820.724,31.3125,25.0,15.5,-20.75,36.25,182.4375,189.375,1171.3125,1662.1875,1.0950909712739994e-19,0.0,0.0,0.0,114.00459289550781
28824.711,31.3125,25.0,15.5,-20.75,36.25,182.4375,189.375,1171.3125,1662.1875,1.0950909712739994e-19,0.0,0.0,0.0,114.01045989990234
28828.689,31.3125,25.0,15.5,-20.75,36.25,182.4375,189.375,1171.3125,1662.1875,1.0950909712739994e-19,0.0,0.0,0.0,114.01045989990234
28832.607,31.3125,25.0,15.5,-20.75,36.25,182.4375,189.375,1171.3125,1662.1875,1.0950909712739994e-19,0.0,0.0,0.0,114.01045989990234
28836.571,31.3125,25.0,15.5,-20.75,36.25,182.4375,189.375,1171.3125,1662.1875,1.0950909712739994e-19,0.0,0.0,0.0,114.01136779785156
28840.541,31.3125,25.0,15.5,-20.75,36.25,182.4375,189.375,1171.3125,1662.1875,1.0950909712739994e-19,0.0,0.0,0.0,114.01136779785156
28900.0,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,113.99960327148438
28903.984,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,114.00159454345703
28907.962,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,114.00159454345703
28911.88,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,114.00159454345703
28915.843,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,114.00174713134766
28919.822,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,114.00174713134766
28923.812,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,114.00188446044922
28927.781,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,114.00188446044922
28931.698,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,114.00188446044922
28935.662,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,114.00255584716797
28939.633,31.1875,24.9375,15.6875,-20.9375,37.5,182.625,189.5,1061.0,1662.0,1.0950909712739994e-19,0.0,0.0,0.0,114.00255584716797
