timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std
41260.178,311.0625,180.9375,190.1875,383.625,34.3125,304.5,184.125,432.125,1902.5625,16.3125,-32.9375,0.03201986849308014,0.06445536762475967,0.01563510298728943,15,0,0,8191,15,2.0
41309.74,311.0625,180.9375,190.1875,383.625,34.3125,304.5,188.1875,435.5,1920.75,13.0625,-28.8125,0.03647278994321823,0.06804576516151428,0.014616201631724834,14,0,0,8191,12,2.0
41359.272,311.0625,180.9375,190.1875,383.625,34.3125,304.5,188.1875,435.5,1920.75,13.0625,-28.8125,0.03979268670082092,0.07064641267061234,0.014952652156352997,15,0,0,8191,41,2.0
41408.822,302.625,177.5625,179.6875,384.0625,34.3125,304.5,188.1875,435.5,1920.75,13.0625,-28.8125,0.04247041046619415,0.07301235944032669,0.014392940327525139,14,0,0,8191,12,2.0
41458.371,302.625,177.5625,179.6875,384.0625,34.8125,304.5,186.25,436.5625,1919.625,16.75,-28.25,0.04591773450374603,0.0763648971915245,0.014047432690858841,14,0,0,8191,11,2.0
41507.929,302.625,177.5625,179.6875,384.0625,34.8125,304.5,186.25,436.5625,1919.625,16.75,-28.25,0.04843030497431755,0.07912588119506836,0.013165789656341076,13,0,0,8191,41,2.0
41557.488,300.0625,182.75,179.6875,384.0625,34.8125,304.5,186.25,436.5625,1919.625,16.75,-28.25,0.05200299248099327,0.08172731101512909,0.01780110038816929,20,0,0,8191,15,2.0
41607.028,300.0625,182.75,181.0625,382.625,33.0625,306.125,188.1875,439.3125,1920.4375,13.0625,-28.875,0.05481821298599243,0.08455600589513779,0.01920950785279274,20,0,0,8191,13,2.0
41656.584,300.0625,182.75,181.0625,382.625,33.0625,306.125,188.1875,439.3125,1920.4375,13.0625,-28.875,0.05759366601705551,0.08709913492202759,0.017344770953059196,20,0,0,8191,12,2.0
41706.139,297.8125,182.75,181.0625,382.625,33.0625,306.125,188.1875,439.3125,1920.4375,13.0625,-28.875,0.058905016630887985,0.0910620167851448,0.012272478081285954,8,0,0,8191,54,2.0
41755.673,297.8125,177.375,168.875,382.25,32.6875,307.0625,192.375,444.75,1920.875,13.3125,-28.875,0.0593528226017952,0.09172168374061584,0.012094268575310707,8,0,0,8191,54,2.0
41805.221,297.8125,177.375,168.875,382.25,32.6875,307.0625,192.375,444.75,1920.875,13.3125,-27.4375,0.0639193058013916,0.09748770296573639,0.014551293104887009,16,0,0,8191,13,2.0
41854.771,297.8125,177.375,168.875,382.25,32.6875,307.0625,192.375,444.75,1920.875,13.3125,-27.4375,0.06696008145809174,0.10018368065357208,0.014143520966172218,18,0,0,8191,78,2.0
41904.342,289.1875,164.125,168.6875,381.875,32.0625,314.8125,193.8125,483.6875,1920.875,13.3125,-27.4375,0.06772653758525848,0.10173910856246948,0.014324655756354332,18,0,0,8191,78,2.0
41953.874,289.1875,164.125,168.6875,381.875,32.0625,314.8125,193.8125,483.6875,1916.375,18.1875,-28.0,0.06959013640880585,0.10903819650411606,0.00954882986843586,8,0,0,8191,10,2.0
42003.436,289.1875,164.125,168.6875,381.875,32.0625,314.8125,193.8125,483.6875,1916.375,18.1875,-28.0,0.07211362570524216,0.11234458535909653,0.01384621299803257,15,0,0,8191,13,2.0
42052.986,263.0,137.0,153.5625,378.6875,32.1875,318.4375,193.8125,483.6875,1916.375,18.1875,-28.0,0.07299531996250153,0.11466562747955322,0.01312419306486845,12,0,0,8191,13,2.0
42102.534,263.0,137.0,153.5625,378.6875,32.1875,318.4375,184.3125,487.375,1921.5625,15.3125,-28.0625,0.07630962878465652,0.12120348960161209,0.014934351667761803,15,0,0,8191,26,2.0
42152.078,263.0,137.0,153.5625,378.6875,32.1875,318.4375,184.3125,487.375,1921.5625,15.3125,-28.0625,0.07852184772491455,0.12334343791007996,0.021069813519716263,22,0,0,8191,17,2.0
42201.632,303.25,136.0625,162.125,370.1875,32.1875,318.4375,184.3125,487.375,1921.5625,15.3125,-28.0625,0.0804559737443924,0.12595003843307495,0.02702832780778408,27,0,0,8191,17,2.0
42251.173,303.25,136.0625,162.125,370.1875,31.375,329.3125,171.3125,591.875,1921.5625,20.4375,-27.1875,0.08154642581939697,0.13495975732803345,0.026485532522201538,23,0,0,8191,39,2.0
42300.732,303.25,136.0625,162.125,370.1875,31.375,329.3125,171.3125,591.875,1921.5625,20.4375,-27.1875,0.08382675796747208,0.14334389567375183,0.028371049091219902,27,-2,0,8191,62,2.0
42350.298,296.75,188.3125,207.3125,370.1875,31.375,329.3125,171.3125,591.875,1921.5625,20.4375,-27.1875,0.025539711117744446,-0.028951792046427727,0.02818986214697361,26,-38,-5,8191,61,2.0
42399.825,296.75,188.3125,207.3125,375.875,47.5625,343.625,168.5,594.4375,1913.6875,25.4375,-27.6875,0.014213057234883308,-0.19662687182426453,0.03394640237092972,24,-23,23,8191,57,2.0
42449.378,296.75,188.3125,207.3125,375.875,47.5625,343.625,168.5,594.4375,1913.6875,25.4375,-27.6875,0.12742900848388672,0.10116160660982132,0.029935499653220177,22,-12,6,7200,76,2.0
42498.954,327.375,188.3125,207.3125,375.875,47.5625,343.625,168.5,594.4375,1913.6875,25.4375,-27.6875,0.1195753738284111,0.12180474400520325,0.025833485648036003,21,7,47,6724,67,2.0
42548.489,327.375,231.875,238.3125,376.9375,75.4375,364.5625,236.8125,604.1875,1898.8125,43.625,-27.6875,0.1193222925066948,0.12252216041088104,0.026106053963303566,21,7,47,6724,67,2.0
42598.024,327.375,231.875,238.3125,376.9375,75.4375,364.5625,236.8125,604.1875,1898.8125,43.625,-27.3125,0.1787014752626419,0.08224263787269592,0.03687133267521858,19,4,25,3091,112,2.0
42647.574,327.375,231.875,238.3125,376.9375,75.4375,364.5625,236.8125,604.1875,1898.8125,43.625,-27.3125,0.06998475641012192,0.11411344259977341,0.03286541998386383,29,5,12,2876,114,2.0
42697.145,369.5,281.4375,280.25,384.0,115.375,384.9375,295.0625,629.0,1898.8125,43.625,-27.3125,0.06657233089208603,0.11393710970878601,0.03457777574658394,29,5,12,2876,114,2.0
42746.68,369.5,281.4375,280.25,384.0,115.375,384.9375,295.0625,629.0,1882.0,62.9375,-28.3125,-0.017734317108988762,0.1198744922876358,0.04234965145587921,38,-9,45,2490,109,2.0
42796.226,369.5,281.4375,280.25,384.0,115.375,384.9375,295.0625,629.0,1882.0,62.9375,-28.3125,-0.007910249754786491,0.09240275621414185,0.051959577947854996,47,0,22,2029,143,2.0
42845.775,382.0,316.375,317.25,383.5625,175.0,406.375,320.625,629.0,1882.0,62.9375,-28.3125,-0.008799513801932335,0.09244461357593536,0.05908425152301788,58,0,22,2029,143,2.0
42895.339,382.0,316.375,317.25,383.5625,175.0,406.375,320.625,662.75,1856.8125,92.6875,-27.6875,-0.03828944265842438,0.08807163685560226,0.07078060507774353,67,-1,45,2412,115,2.0
42944.875,382.0,316.375,317.25,383.5625,175.0,406.375,320.625,662.75,1856.8125,92.6875,-27.6875,-0.03496642783284187,0.08305639773607254,0.08426718413829803,82,-5,16,2552,145,2.0
42994.435,405.8125,338.5625,352.375,393.8125,226.9375,406.375,320.625,662.75,1856.8125,92.6875,-27.6875,-0.05509352311491966,0.06138536334037781,0.08968985080718994,83,2,12,2384,157,2.0
43043.978,405.8125,338.5625,352.375,393.8125,226.9375,412.125,334.9375,683.375,1837.9375,115.5,-28.0625,-0.06027400866150856,0.07255060225725174,0.10164083540439606,99,-5,26,2493,126,2.0
43093.539,405.8125,338.5625,352.375,393.8125,226.9375,412.125,334.9375,683.375,1837.9375,115.5,-28.0625,-0.048608649522066116,0.05500299856066704,0.11051297932863235,107,-2,3,2474,131,2.0
43143.084,430.3125,356.0625,374.75,393.8125,226.9375,412.125,334.9375,683.375,1837.9375,115.5,-28.0625,-0.061309050768613815,0.04957733675837517,0.12033103406429291,116,-9,13,2619,130,2.0
43192.626,430.3125,356.0625,374.75,396.0,274.5,411.25,415.875,710.3125,1802.5,147.4375,-29.0,-0.05460113286972046,0.03967071324586868,0.12739931046962738,126,8,9,2416,148,2.0
43242.176,430.3125,356.0625,374.75,396.0,274.5,411.25,415.875,710.3125,1802.5,147.4375,-29.0,-0.06053629517555237,0.05948331207036972,0.14458665251731873,147,-4,4,2398,155,2.0
43291.754,428.4375,356.0625,374.75,396.0,274.5,411.25,415.875,710.3125,1802.5,147.4375,-29.0,-0.061237383633852005,0.053430188447237015,0.15899208188056946,156,-3,5,2527,134,2.0
43341.276,428.4375,362.4375,382.1875,398.6875,320.375,406.4375,427.5,720.5,1760.9375,190.5,-28.5,-0.06077953800559044,0.05225366726517677,0.17604725062847137,156,-2,-26,2642,151,2.0
43390.835,428.4375,362.4375,382.1875,398.6875,320.375,406.4375,427.5,720.5,1760.9375,190.5,-28.5,-0.063597172498703,0.05006583780050278,0.18231001496315002,167,3,-2,2622,157,2.0
