timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z
32416.758,419.4375,356.75,585.875,282.125,59.5,759.75,423.1875,579.4375,1703.5625,17.3125,8.8125,0.0,0.0,112.12979888916016
32420.681,419.4375,356.75,585.875,282.125,59.5,759.75,423.1875,579.4375,1703.5625,17.3125,8.8125,0.0,0.0,112.12979888916016
32424.68,419.4375,356.75,585.875,282.125,59.5,759.75,423.1875,579.4375,1703.5625,17.3125,8.8125,0.0,0.0,112.12410736083984
32428.599,419.4375,356.75,585.875,282.125,59.5,759.75,423.1875,579.4375,1703.5625,17.3125,8.8125,0.0,0.0,112.12410736083984
32432.791,419.4375,356.75,585.875,282.125,59.5,759.75,423.1875,579.4375,1703.5625,17.3125,8.8125,0.0,0.0,112.12410736083984
32436.572,419.4375,356.75,585.875,282.125,59.5,759.75,423.1875,579.4375,1703.5625,17.3125,8.8125,0.0,0.0,112.11734771728516
32440.498,419.4375,356.75,585.875,282.125,59.5,759.75,423.1875,579.4375,1703.5625,17.3125,8.8125,0.0,0.0,112.11734771728516
32515.835,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.09363555908203
32519.753,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.09363555908203
32523.747,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.09757995605469
32527.678,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.09757995605469
32531.87,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.09757995605469
32535.651,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.11096954345703
32539.569,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.11096954345703
32543.572,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.1230239868164
32547.494,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.1230239868164
32551.686,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.1230239868164
32563.379,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.1280517578125
32567.31,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.1280517578125
32571.502,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.1280517578125
32575.282,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.13511657714844
32579.209,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.13511657714844
32583.204,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.14147186279297
32587.125,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.14147186279297
32591.317,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.14147186279297
32595.098,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.1362533569336
32599.017,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.1362533569336
32603.01,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.13156127929688
32606.953,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.13156127929688
32611.154,380.875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.13156127929688
32614.926,345.1875,332.0625,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.1224136352539
32618.851,345.1875,321.6875,498.875,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.1224136352539
32622.848,345.1875,321.6875,182.8125,571.9375,14.375,524.125,421.9375,580.0,1803.25,13.1875,8.25,0.0,0.0,112.11418151855469
32666.389,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.11478424072266
32670.581,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.11478424072266
32674.363,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.10895538330078
32678.283,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.10895538330078
32682.277,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.10371398925781
32686.206,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.10371398925781
32690.397,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.10371398925781
32694.178,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.0924301147461
32698.097,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.0924301147461
32702.101,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.082275390625
32706.022,345.1875,321.6875,182.8125,789.6875,16.875,280.9375,360.75,580.5,1910.6875,17.5,9.0625,0.0,0.0,112.082275390625
